OBSID,RA,DEC
0112370801,34.6779583333333,-5.32855555555556
0827202101,52.2900833333333,-28.4866944444444
0782840501,70.1267916666667,50.4836388888889
0118900701,85.109875,-69.3523055555555
0674740201,206.968083333333,28.6358888888889
0306841001,30.9240416666667,30.0050833333333
0761220101,213.317583333333,-3.23491666666667
0650560401,10.718125,41.2545555555556
0301040101,202.943375,29.3049722222222
0406420601,260.023333333333,58.8049722222222
0722610101,80.244625,-25.3363888888889
0123720301,82.1877916666667,-65.4218333333334
0785120401,59.7685833333333,26.4964166666667
0305580201,286.823916666667,9.29730555555556
0674210201,10.7135416666667,41.2509722222222
0556210401,142.121458333333,50.83825
0203540201,66.811,26.1775
0801891601,198.268875,-11.1007222222222
0677600135,37.62375,-5.80411111111111
0729160701,19.7030416666667,-82.7733055555556
0501210401,57.5549166666667,-50.2944722222222
0093060401,241.228166666667,23.9601111111111
0652070101,16.2225833333333,54.0163333333333
0303360101,139.693083333333,21.3155
0824400301,36.06825,-47.1961388888889
0111110301,36.3096666666667,-5.15230555555556
0400210101,350.950833333333,59.0566111111111
0782670201,89.206125,-33.20175
0673900101,251.531333333333,42.4319166666667
0302190101,128.609875,-42.9405555555556
0763620101,83.903125,-69.2441111111111
0790660101,253.394625,-1.95166666666667
0824610401,186.443416666667,33.5745833333333
0402470401,285.440291666667,1.41677777777778
0204651201,179.132666666667,55.0978055555556
0504810401,220.17275,-62.6246666666667
0147111301,35.3165,-5.14991666666667
0655343858,34.0715833333333,-7.05672222222222
0747420149,23.8730416666667,0.357611111111111
0102640701,23.5175833333333,30.4688888888889
0305920201,175.030791666667,3.14813888888889
0670590101,305.358583333333,40.4698888888889
0725300154,136.285083333333,0.703527777777778
0555780301,53.13775,-27.7453611111111
0109660901,203.655,37.8837777777778
0795680101,53.3929166666667,-5.07269444444445
0002970101,337.866875,39.3419166666667
0761590401,249.867291666667,47.0556111111111
0677580134,37.6685,-4.50027777777778
0653300101,282.056166666667,-19.8519166666667
0811212801,40.9448333333333,61.3804166666667
0821940301,182.490375,-52.4138611111111
0002940401,55.3175833333333,-1.31625
0670120401,343.549833333333,-17.5968055555556
0820330801,109.468916666667,-21.9083888888889
0600660201,10.7138333333333,41.2503611111111
0795580301,176.413458333333,-18.42525
0304201601,343.580166666667,-70.0711388888889
0693010301,4.881875,3.62888888888889
0303340101,24.26,-35.1736944444445
0109460701,82.9198333333333,-46.4273611111111
0603220201,250.702958333333,-54.4920555555556
0550671201,283.14425,0.695694444444445
0146871501,98.8380416666667,5.52788888888889
0745110401,183.579208333333,14.0259722222222
0135980201,344.26125,-36.4508888888889
0204850501,103.829916666667,-24.0259166666667
0112200401,84.6229583333333,28.2628888888889
0202890201,207.227208333333,7.98861111111111
0700381301,257.300208333333,-36.4315277777778
0747420148,23.8730833333333,0.108138888888889
0044350201,301.943416666667,-11.1221111111111
0403160101,7.3435,-0.197861111111111
0204711001,243.514291666667,-63.1132777777778
0670300401,136.070541666667,-36.4745277777778
0802810101,56.6946666666667,32.2703055555556
0505382301,350.245291666667,-55.0100833333333
0305690401,50.501625,41.80575
0804860301,211.185416666667,-25.1685
0502510301,201.573833333333,31.9310555555556
0201540101,339.566583333333,75.2211666666667
0741581601,316.824625,-25.455
0782650101,148.41425,1.60730555555556
0761550201,139.68,-12.3216944444444
0745110201,183.578166666667,14.0258055555556
0802080801,238.04525,-56.2826666666667
0700380801,94.5936666666667,-70.9920277777778
0402561101,10.821375,41.9015833333333
0655571201,253.296125,23.8526944444444
0142240201,72.1624166666667,-20.6121388888889
0723290101,310.282541666667,-44.8735555555556
0673580301,201.337916666667,-38.443
0511010501,223.187458333333,-59.7941111111111
0110990301,11.6928333333333,-20.7061666666667
0651471301,65.052,-50.3859444444444
0827020301,183.09125,27.5449166666667
0652640201,100.940458333333,-1.03941666666667
0802570301,28.6935833333333,-0.161305555555556
0656580601,213.2985,-65.3110277777778
0745010401,320.895083333333,-0.865583333333333
0502040701,325.740583333333,6.922
0552810401,182.487166666667,-52.4135277777778
0693662301,94.1890833333333,-52.4443333333333
0093031501,260.6405,32.1145833333333
0112190201,182.818666666667,39.1653055555556
0851181401,115.149583333333,66.3658888888889
0677681240,30.2628333333333,-6.46372222222222
0300210401,66.4864583333333,-8.5755
0606430201,252.358333333333,53.0486944444444
0100650101,225.931958333333,47.6280833333333
0601780201,168.452125,9.61383333333333
0401520301,229.171875,7.04586111111111
0205330401,302.803,-57.4093333333333
